toMergeCountryCode;toMergePublisher;originalcountryCode;originalRegistryName;distance
ae   ;Abu Dhabi Commercial Directory                                                                                                                                                                                                                                 ;;                                                                                                                                                                                                                                                               ;30
ae   ;Dubai International Financial Centre                                                                                                                                                                                                                           ;;                                                                                                                                                                                                                                                               ;36
al   ;Albania National Registration Center                                                                                                                                                                                                                           ;;                                                                                                                                                                                                                                                               ;36
au   ;Australian Securities & Investments Commission                                                                                                                                                                                                                 ;au   ;Australian Business Register                                                                                                                                                                                                                                   ;26
au   ;Australian Securities & Investments Commission                                                                                                                                                                                                                 ;au   ;Australian Charities and Not-for-profits Commission                                                                                                                                                                                                            ;20
aw   ;Aruba Chamber of Commerce & Industry                                                                                                                                                                                                                           ;;                                                                                                                                                                                                                                                               ;36
bb   ;Barbados Corporate Affairs and Intellectual Property Office                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;59
bd   ;Bangladesh Office of the Registrar of Joint Stock Companies and Firms                                                                                                                                                                                          ;;                                                                                                                                                                                                                                                               ;69
be   ;La Banque-Carrefour des Entreprises                                                                                                                                                                                                                            ;be   ;Banque Carrefour des entreprises / Kruispuntbank van ondernemingen                                                                                                                                                                                             ;39
bh   ;Bahrain Ministry Of Industry And Commerce                                                                                                                                                                                                                      ;;                                                                                                                                                                                                                                                               ;41
bm   ;Bermuda Registrar of Companies                                                                                                                                                                                                                                 ;;                                                                                                                                                                                                                                                               ;30
bs   ;Registrar General's Department of the Bahamas                                                                                                                                                                                                                  ;;                                                                                                                                                                                                                                                               ;45
ca   ;Corporations Canada                                                                                                                                                                                                                                            ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;42
ca   ;New Brunswick Corporate Affairs Registry Database                                                                                                                                                                                                              ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;45
ca   ;Government of Newfoundland & Labrador Registry of Companies                                                                                                                                                                                                    ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;48
ca   ;Nova Scotia Registry of Joint Stock Companies                                                                                                                                                                                                                  ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;43
ca   ;Prince Edward Island Corporate/Business Names Registry                                                                                                                                                                                                         ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;47
ca   ;Quebec Registraire des entreprises                                                                                                                                                                                                                             ;ca   ;Canadian Revenue Agency / Agence du revenu du Canada                                                                                                                                                                                                           ;43
cy   ;Cyprus Department of Registrar of Companies and Official Receiver                                                                                                                                                                                              ;;                                                                                                                                                                                                                                                               ;65
dk   ;Det centrale virksomhedsregister                                                                                                                                                                                                                               ;;                                                                                                                                                                                                                                                               ;32
do   ;Oficina Nacional de la Propiedad Industrial                                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;43
es   ;Spanish Mercantile Registry                                                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;27
fi   ;Finnish Business Information System                                                                                                                                                                                                                            ;;                                                                                                                                                                                                                                                               ;35
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;Charity Commission                                                                                                                                                                                                                                             ;16
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;Companies House                                                                                                                                                                                                                                                ;3
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;UK Government Departments, Agencies & Public Bodies                                                                                                                                                                                                            ;37
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;The Charity Commission for Northern Ireland                                                                                                                                                                                                                    ;35
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;HM Revenue and Customs                                                                                                                                                                                                                                         ;18
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;Scottish Charity Register                                                                                                                                                                                                                                      ;20
gi   ;Companies House Gibraltar                                                                                                                                                                                                                                      ;;                                                                                                                                                                                                                                                               ;25
gl   ;Det grønlandske erhvervsregister                                                                                                                                                                                                                               ;;                                                                                                                                                                                                                                                               ;32
hk   ;Hong Kong Companies Registry                                                                                                                                                                                                                                   ;;                                                                                                                                                                                                                                                               ;28
hr   ;Croatian Chamber of Commerce                                                                                                                                                                                                                                   ;;                                                                                                                                                                                                                                                               ;28
ie   ;Ireland Companies Registration Office                                                                                                                                                                                                                          ;ie   ;Irish Register of Charities                                                                                                                                                                                                                                    ;26
ie   ;Ireland Companies Registration Office                                                                                                                                                                                                                          ;ie   ;Irish CompaniesRegistration Office                                                                                                                                                                                                                             ;6
im   ;Isle of Man Companies Registry                                                                                                                                                                                                                                 ;im   ;Isle of Man Companies Registry                                                                                                                                                                                                                                 ;0
im   ;Isle of Man Companies Registry                                                                                                                                                                                                                                 ;im   ;Isle of Man Index of Registered Charities                                                                                                                                                                                                                      ;22
in   ;India Ministry of Corporate Affairs                                                                                                                                                                                                                            ;;                                                                                                                                                                                                                                                               ;35
is   ;The Icelandic Tax Office (RSK)                                                                                                                                                                                                                                 ;;                                                                                                                                                                                                                                                               ;30
je   ;Jersey Financial Services Commission                                                                                                                                                                                                                           ;;                                                                                                                                                                                                                                                               ;36
jm   ;Companies Office of Jamaica                                                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;27
li   ;Liechtensteinische Landesverwaltung                                                                                                                                                                                                                            ;;                                                                                                                                                                                                                                                               ;35
lu   ;Registre de Commerce et des Sociétés (Luxembourg)                                                                                                                                                                                                              ;;                                                                                                                                                                                                                                                               ;49
lv   ;Latvia Database of enterprises                                                                                                                                                                                                                                 ;;                                                                                                                                                                                                                                                               ;30
me   ;Montenegro Central Registry of Business Entities                                                                                                                                                                                                               ;;                                                                                                                                                                                                                                                               ;48
mm   ;Myanamar Directorate of Investment and Company Administration                                                                                                                                                                                                  ;mm   ;Ministry of Home Affairs - Central Committee for the Registration and Supervision of Organisations                                                                                                                                                             ;68
mt   ;The Malta Financial Services Authority                                                                                                                                                                                                                         ;;                                                                                                                                                                                                                                                               ;38
mu   ;Mauritius Ministry of Finance & Economic Developement, Companies Division                                                                                                                                                                                      ;;                                                                                                                                                                                                                                                               ;73
mx   ;Sistema de Información Empresarial Mexicano                                                                                                                                                                                                                    ;;                                                                                                                                                                                                                                                               ;43
nl   ;OpenKVK.nl                                                                                                                                                                                                                                                     ;nl   ;Kamer van Koophandel                                                                                                                                                                                                                                           ;15
no   ;Brønnøysundregistrene                                                                                                                                                                                                                                          ;no   ;Brønnøysundregistrene                                                                                                                                                                                                                                          ;0
