jurisdiction;country;publisher;count;sourceDomain;publisherAbreviation;match;measure value;codelistOrganisationRegistrationAgencyKey;registryCode;registryName;countryCode;country_1;registryWebsite;publicDatabase;iatiUsageRules
ae_az;Abu Dhabi (UAE);Abu Dhabi Commercial Directory;1,297;http://business.abudhabi.ae;ADCD;Charity Commission;21;9;GB-CHC;Charity Commission;GB;United Kingdom;http://www.charity-commission.gov.uk/;Y;
ae_du;Dubai (UAE);Dubai International Financial Centre;1,552;http://www.difc.ae;DIFC;Department of Social Welfare;22;15;GH-DSW;Department of Social Welfare;GH;Ghana;;N;
al;Albania;Albania National Registration Center;40,213;http://www.qkr.gov.al;ANRC;Patents and Companies Registration Agency;21;48;ZM-PCR;Patents and Companies Registration Agency;ZM;Zambia;http://www.pacra.org.zm/;N;
au;Australia;Australian Securities & Investments Commission;2,236,178;https://connectonline.asic.gov.au;ASIC;Australian Charities and Not-for-profits Commission;20;4;AU-ACNC;Australian Charities and Not-for-profits Commission;AU;Australia;http://www.acnc.gov.au/ACNC/;Y;
aw;Aruba;Aruba Chamber of Commerce & Industry;46,982;http://www.kvk.aw;ACOCI;Isle of Man Companies Registry;24;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
bb;Barbados;Barbados Corporate Affairs and Intellectual Property Office;30,129;http://www.caipo.gov.bb;BCAAIPO;Companies and Intellectual Property Commission (CIPC);34;44;ZA-CIP;Companies and Intellectual Property Commission (CIPC);ZA;South Africa;http://www.cipro.gov.za/;Y;
bd;Bangladesh;Bangladesh Office of the Registrar of Joint Stock Companies and Firms;88,555;http://www.roc.gov.bd;BOOTROJSCAF;;;;;;;;;;
be;Belgium;La Banque-Carrefour des Entreprises;932,010;http://economie.fgov.be;LBCDE;Australian Business Register;26;3;AU-ABN;Australian Business Register;AU;Australia;http://abr.business.gov.au/;Y;
bh;Bahrain;Bahrain Ministry Of Industry And Commerce;68,675;http://www.moic.gov.bh;BMOIAC;NGO Board, Ministry of Internal Affairs;24;38;UG-NGB;NGO Board, Ministry of Internal Affairs;UG;Uganda;http://www.mia.go.ug/?page_id=62;N;
bm;Bermuda;Bermuda Registrar of Companies;45,281;https://www.roc.gov.bm;BROC;Registar of Companies;9;25;KE-RCO;Registar of Companies;KE;Kenya;http://www.attorney-general.go.ke/;N;
